ep_idx,env_name,seed,provider,model,variant,confidence,plausibility,goal_progress,specificity,parse_ok,cf_pos_x,cf_pos_y,cf_pos_z,cf_act_dx,cf_act_dy,cf_act_dz,cf_act_grip,explanation_snippet
7,FetchPush-v4,60017,anthropic,claude-opus-4-7,action,0.6,,,,1,,,,-0.3,-0.2,-0.5,-1.0,"The end-effector drifted up and away to the right past the block; it should move back toward the block (-x, -y) and down"
7,FetchPush-v4,60017,anthropic,claude-opus-4-7,achieved_goal,0.7,0.3,1.0,0.4,1,1.4611833095550537,0.6210954189300537,0.42489221692085266,,,,,"At the midpoint, the block should already be at (or very near) the target position so the remaining timesteps can stabil"
7,FetchPush-v4,60017,anthropic,claude-opus-4-7,all,0.7,0.85,0.9,0.8,1,1.4,0.62,0.42,-0.8,-0.3,-0.6,-1.0,"The gripper drifted far to the right and above the block; it should move back left, toward the block, and down to contac"
7,FetchPush-v4,60017,anthropic,claude-sonnet-4-5,narrative,0.92,,,,1,,,,,,,,The robot should have maintained contact with the block and pushed it along the table surface instead of lifting the arm
7,FetchPush-v4,60017,anthropic,claude-sonnet-4-5,action,0.85,0.5,0.2,0.6,1,,,,0.0,0.0,-0.8,1.0,The robot arm lifted too high away from the table surface; it should have moved downward to maintain contact with the bl
7,FetchPush-v4,60017,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.9,0.85,0.5,1,1.42,0.65,0.425,,,,,"At the halfway point, the object should be positioned approximately midway between its starting location and the target,"
7,FetchPush-v4,60017,anthropic,claude-sonnet-4-5,all,0.85,,,,1,1.42,0.65,0.425,0.15,-0.25,-0.35,1.0,"The robot arm should have descended toward the block on the table instead of retracting upward and away, maintaining pro"
8,FetchPush-v4,60034,anthropic,claude-opus-4-7,narrative,0.0,,,,0,,,,,,,,"VLM call/parse failed: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This reques"
8,FetchPush-v4,60034,anthropic,claude-opus-4-7,action,0.6,0.75,0.7,0.8,1,,,,0.2,-0.3,-0.8,-1.0,The arm lifted up and away from the block instead of pushing it toward the red target; it should descend and move toward
8,FetchPush-v4,60034,anthropic,claude-opus-4-7,achieved_goal,0.6,,,,1,1.33,0.88,0.425,,,,,"At the midpoint, the block should already be near the target (or in contact with the gripper pushing it), so placing it "
8,FetchPush-v4,60034,anthropic,claude-opus-4-7,all,0.7,0.5,0.4,0.8,1,1.3,0.75,0.42,0.1,0.8,-0.9,-1.0,"The arm lifted away from the table instead of descending to push the block toward the red target, so it should move down"
8,FetchPush-v4,60034,anthropic,claude-sonnet-4-5,narrative,0.92,,,,1,,,,,,,,The robot should have descended toward the table surface to make contact with the black block instead of retracting upwa
8,FetchPush-v4,60034,anthropic,claude-sonnet-4-5,action,0.85,,,,1,,,,0.0,0.0,-0.8,0.0,The robot arm is moving upward away from the table when it should be descending to make contact with the block to push i
8,FetchPush-v4,60034,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.3,1.0,0.5,1,1.33,0.88,0.425,,,,,"At the halfway point, the object should already be at or very near the target position since the arm appears to have ret"
8,FetchPush-v4,60034,anthropic,claude-sonnet-4-5,all,0.92,0.4,0.2,0.6,1,1.33,0.88,0.425,0.0,0.0,-1.0,1.0,The robot should have moved downward to approach the block at table height instead of retracting upward away from the wo
9,FetchPush-v4,60051,anthropic,claude-opus-4-7,narrative,0.7,0.9,0.8,0.45,1,,,,,,,,"The robot should have moved its end-effector to the far side of the block and pushed it back toward the target, rather t"
9,FetchPush-v4,60051,anthropic,claude-opus-4-7,action,0.5,0.3,0.2,0.6,1,,,,-0.3,-0.2,-0.1,1.0,"At Frame 2 the end-effector is past/right of the block; it should move back toward the block (-x, -y) and down to make c"
9,FetchPush-v4,60051,anthropic,claude-opus-4-7,achieved_goal,0.7,0.4,1.0,0.3,1,1.3167601823806763,0.7779345512390137,0.42489221692085266,,,,,"At the halfway point, the block should already be at (or very near) the target position so the remaining timesteps can s"
9,FetchPush-v4,60051,anthropic,claude-opus-4-7,all,0.6,0.5,0.3,0.7,1,1.32,0.72,0.425,0.1,0.8,-0.3,-1.0,The gripper drifted past the block without making contact on its near side; it should move down and forward in +y to pus
9,FetchPush-v4,60051,anthropic,claude-sonnet-4-5,narrative,0.82,0.8,0.6,0.4,1,,,,,,,,"The robot should have approached the block from a lower angle to push horizontally rather than pressing down from above,"
9,FetchPush-v4,60051,anthropic,claude-sonnet-4-5,action,0.82,0.4,0.2,0.6,1,,,,0.0,-0.6,-0.3,1.0,"The robot arm moved too far to the right and upward, missing the block; it should have moved left and downward to make c"
9,FetchPush-v4,60051,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.95,0.92,0.7,1,1.29,0.75,0.425,,,,,"At the halfway point, the object should be positioned very close to the target to allow fine adjustments in the remainin"
9,FetchPush-v4,60051,anthropic,claude-sonnet-4-5,all,0.85,0.85,0.8,0.75,1,1.28,0.72,0.425,0.15,-0.25,-0.15,1.0,The robot should have moved downward and toward the block to make contact and push it toward the target instead of retra
